Grev Turegatan 71, 2 900 000 kr, 1 rum, 20 m², 145000 kr/m², 2019-04-11
Linnégatan 17A, 2 800 000 kr, 1 rum, 23 m², 121700 kr/m², 2019-04-05
Grevgatan 49, 3 450 000 kr, 1 rum, 28 m², 123200 kr/m², 2019-03-25
Gyllenstiernsgatan 15, 2 400 000 kr, 1 rum, 19 m², 126300 kr/m², 2019-03-22
Grev Turegatan 62, 3 435 000 kr, 1 rum, 26 m², 132100 kr/m², 2019-03-20
Wittstocksgatan 2, 3 070 000 kr, 1 rum, 27 m², 113700 kr/m², 2019-03-20
Grev Turegatan 62, 3 500 000 kr, 1 rum, 27 m², 129600 kr/m², 2019-03-19
Kommendörsgatan 33A, 2 930 000 kr, 1 rum, 27 m², 108500 kr/m², 2019-03-15
Sibyllegatan 26, 3 500 000 kr, 1 rum, 30 m², 116700 kr/m², 2019-03-10
Nybrogatan 65, 3 700 000 kr, 1 rum, 29 m², 127600 kr/m², 2019-03-04
Grevgatan 19, 3 055 000 kr, 1 rum, 24 m², 127300 kr/m², 2019-03-03
Karlavägen 90A, 2 700 000 kr, 1 rum, 20 m², 135000 kr/m², 2019-02-28
Östermalmsgatan 94, 3 700 000 kr, 1 rum, 29 m², 127600 kr/m², 2019-02-26
Grevgatan 40, 2 975 000 kr, 1 rum, 25 m², 119000 kr/m², 2019-02-22
Styrmansgatan 13, 3 100 000 kr, 1 rum, 27 m², 114800 kr/m², 2019-02-19
Grev Turegatan 64, 3 040 000 kr, 1 rum, 29 m², 104800 kr/m², 2019-02-14
Styrmansgatan 13, 2 700 000 kr, 1 rum, 22 m², 122700 kr/m², 2019-02-05
Ulrikagatan 15, 2 800 000 kr, 1 rum, 24 m², 116700 kr/m², 2019-01-31
Linnégatan 16, 2 900 000 kr, 1 rum, 23 m², 126100 kr/m², 2019-01-29
Cardellgatan 4A, 3 450 000 kr, 1 rum, 29 m², 119000 kr/m², 2019-01-28
Narvavägen 22, 2 500 000 kr, 1 rum, 21 m², 119000 kr/m², 2019-01-25
Wittstocksgatan 3B, 3 220 000 kr, 1 rum, 25 m², 128800 kr/m², 2019-01-20
Gyllenstiernsgatan 19, 2 425 000 kr, 1 rum, 19 m², 127600 kr/m², 2019-01-18
Sibyllegatan 31, 2 955 000 kr, 1 rum, 27 m², 109400 kr/m², 2019-01-16
Linnégatan 20, 2 650 000 kr, 1 rum, 21½ m², 123300 kr/m², 2019-01-12
